Sentence,label
Considering the example above here a variety of wrong ways to specify the class name The second likely cause is that the class name is correct but that the <code>java</code> command can not find the class,0
To understand this you need to understand the concept of the `` classpath,0
This is explained well by the Oracle documentation So if you have specified the class name correctly the next thing to check is that you have specified the classpath correctly When you put a directory on the classpath it notionally corresponds to the root of the qualified name space,0
Classes are located in the directory structure beneath that root by mapping the fully qualified name to a pathname,0
So for example if / usr/local/acme / classes is on the class path then when the JVM looks for a class called <code>java</code> it will look for a,0
class file with this pathname If you had put / usr/local/acme / classes/com/acme / example on the classpath then the JVM would nt be able to find the class,0
The classpath needs to include all of the other non-system classes that your application depends on,0
The system classes are located automatically and you rarely need to concern yourself with this,0
For the main class to load correctly the JVM needs to find Note the JLS and JVM specifications allow some scope for a JVM to load classes `` lazily and this can affect when a classloader exception is thrown,0
It occasionally happens that someone puts a source code file into the the wrong folder in their source code tree or they leave out the <code>java</code> declaration,0
If you do this in an IDE the IDE s compiler will tell you about this immediately,0
Similarly if you use a decent Java build tool the tool will run <code>java</code>c in a way that will detect the problem,0
However if you build your Java code by hand you can do it in such a way that the compiler doesnt notice the problem and the resulting,0
class file is not in the place that you expect it to be,0
The alternative syntax used for `` executable JAR files is as follows eg,0
In this case the name of the entry-point class ie <code>comacmeexampleFoon</code> and the classpath are specified in the MANIFEST of the JAR file,0
A typical Java IDE has support for running Java applications in the IDE JVM itself or in a child JVM,0
These are generally immune from this particular exception because the IDE uses its own mechanisms to construct the runtime classpath identify the main class and create the <code>package</code> command line,0
However it is still possible for this exception to occur if you do things behind the back of the IDE,0
For example if you have previously set up an Application Launcher for your Java app in Eclipse and you then moved the JAR file containing the `` main class to a different place in the file system without telling Eclipse Eclipse would unwittingly launch the JVM with an incorrect classpath,0
In short if you get this problem in an IDE check for things like stale IDE state broken project references or broken launcher configurations,0
It is also possible for an IDE to simply get confused,0
IDE s are hugely complicated pieces of software comprising many interacting parts,0
Many of these parts adopt various caching strategies in order to make the IDE as a whole responsive,0
These can sometimes go wrong and one possible symptom is problems when launching applications,0
If you suspect this could be happening it is worth restarting your IDE,0
Sometimes what might be causing the issue has nothing to do with the main class and I had to find this out the hard way,0
It was a referenced library that I moved and it gave me the I just deleted that reference added it again and it worked fine again,0
First set the path using this command ; Then you need to load the program,0
Type `` cd folder name in the stored drive and compile it,0
For Example if my program stored on the D drive type `` D press enter and type cd folder name,0
In my case error appeared because I had supplied the source file name instead of the class name,0
We need to supply the class name containing the main method to the interpreter,0
If your source code name is HelloWorldjava your compiled code will be HelloWorldclass,0
You will get that error if you call it using Instead use this I hope it helps,0
What helped me was specifying the classpath on the command line for example,0
If your main method is in the class under a package you should run it over the hierarchical directory,0
Assume there is a source code file Mainjava For running this code you should place <code>MainClass</code> in the package like directory <code>/com/test/MainJava</code>,0
And in the root directory use <code>java comtestMain</code>,0
If your classes are in packages then you have to <code>cd</code> to the main directory and run using the full name of the class packageNameMainClassName,0
Example My classes are in here The full name of my main class is So I <code>cd</code> back to the main directory Then issue the <code>java</code> command,0
In this instance you have It s because you are using - classpath but the dash is not the same dash used by <code>java</code> on the command prompt,0
I had this issue copying and pasting from Notepad to cmd,0
When the same code works on one PC but it shows the error in another the best solution I have ever found is compiling like the following,0
I spent a decent amount of time trying to solve this problem,0
I thought that I was somehow setting my classpath incorrectly but the problem was that I typed,0
According to the error message `` Could not find or load main class there are two categories of problems Main class could not be found when there is typo or wrong syntax in the fully qualified class name or it does not exist in the provided classpath,0
Main class could not be loaded when the class can not be initiated typically the main class extends another class and that class does not exist in the provided classpath,0
For example If camel-spring is not included this error will be reported,0
In Java when you sometimes run the JVM from the command line using the java executable and are trying to start a program from a class file with public static void main PSVM you might run into the below error even though the classpath parameter to the JVM is accurate and the class file is present on the classpath This happens if the class file with PSVM could not be loaded,0
One possible reason for that is that the class may be implementing an interface or extending another class that is not on the classpath,0
Normally if a class is not on the classpath the error thrown indicates as such,0
But if the class in use is extended or implemented java is unable to load the class itself,0
Reference https//wwwcomputingnotesnet/java/error-main-class-not-found-or-loaded/,0
On Windows put <code>;</code> at the CLASSPATH value in the beginning,0
I was using Windows 8 with a 64-bit OS,0
I just changed the path to <code>Program Files (x86)</code> and then it started work,0
I put this line in the eclipseini file,0
This might happen if you have several versions of Java on the same machine,0
To fix this I did the following,0
If you install a 64-bit Eclipse version on a PC with a 32-bit JRE this is guaranteed to occur,0
So the solution is quite straightforward You need to synchronise them by updating either one,0
This shall happen when downloading Oracle Fusion middleware and Eclipse expects a 32-bit environment while your JRE is 64-bit and your JAVA home is pointing to a 64-bit JDK,0
I got this error and found that my PATH variable on Windows was probably changed,0
First in my PATH was this entry and Eclipse ran <code>C\ProgramData\Oracle\Java\javapath\javaw</code> - which gave the error,0
I suspect that this is something that came along with an installation of Java 8,0
I have several Java versions installed 67 and 8 so I removed that entry from the PATH and tried to restart Eclipse again which worked fine,0
Instructions on how to edit PATH variable,0
I have just solved the same issue upon setting up my Windows 81 PC,0
Exactly like @George Papatheodorou mentioned above sorry I can not add a comment Eclipse and JRE must be both 64 bit or 32 bit,0
However it seems for Windows 8/8 1 environment you are going to get 32-bit JRE by default and I do not know where to change that default for the download as explained here http//javacom/en/download/faq/win8_faqxml I was using 64-bit Eclipse so there was a discrepancy,0
I then installed 32-bit Eclipse and everything works fine this time,0
So before bothering changing any environment variables check your JRE and Eclipse version,0
Of course you can use 64-bit JRE with 64-bit Eclipse,0
Just make sure they match because Windows 81 will give you 32-bit by default,0
Here s a basic solution offered by jpdymond https//stackoverflowcom/a/22186845/212950,0
Your version of Eclipse is 64-bit based on the paths and filenames,0
However the version of Java that it s picking up is 32-bit as indicated by where it is coming from indicated on this line <code>Program Files (x86)</code> is the folder where 64-bit Windows places 32-bit programs,0
<code>Program Files</code> is the folder where 64-bit Windows places 64-bit programs,0
This can happen when a system has more than one JVM installed as is often the case on Windows 64-bit for example the JRE download page uses the bit-ness of the browser to determine what bit-ness download to offer you and many people use d 32-bit browsers even though they run 64-bit Windows,0
The best way to fix this assuming you do in fact have 64-bit JRE or JDK on your system is to specify in <code>eclipseini</code> exactly which JVM you want it to use,0
The instructions are detailed in the Eclipse wiki page but basically you have to specify the <code>-vm</code> option in the ini file - make sure to read the wiki page carefully as the format is very specific,0
Specifying the JVM path in <code>eclipseini</code> is strongly recommended because doing so isolates Eclipse from any potential changes to your system <code>PATH</code> that some program installers might make I m talking to you Oracle !,0
Another option would be to download and use 32-bit Eclipse instead of 64-bit but it s still strongly recommended to specify the path to the JVM in <code>eclipseini</code>,0
Left for historical reference To check your version of Java run in a console command prompt,0
If you really want decimal numbers for calculation and not only for output do not use a binary-based floating point format like double,0
Use BigDecimal or any other decimal-based format,1
-- Paŭlo Ebermann I do use BigDecimal for calculations but bear in mind it is dependent on the size of numbers you re dealing with,0
In most my implementations i find parsing from double or integer to Long is sufficient enough for very large number calculations,1
In fact i ve recently used parsed-to-Long to get accurate representations as opposed to hex results in a gui for numbers as big as ################################# characters as an example,0
The code snippet below shows how to display n digits,0
The trick is to set variable pp to 1 followed by n zeros,0
In the example below variable pp value has 5 zeros so 5 digits will be displayed,0
You can use the DecimalFormat class,1
As some others have noted the correct answer is to use either <code>DecimalFormat</code> or <code>BigDecimal</code>,1
Floating-point doesnt have decimal places so you can not possibly round/truncate to a specific number of them in the first place,1
You have to work in a decimal radix and that is what those two classes do,0
I am posting the following code as a counter-example to all the answers in this thread and indeed all over StackOverflow and elsewhere that recommend multiplication followed by truncation followed by division,0
It is incumbent on advocates of this technique to explain why the following code produces the wrong output in over 92 % of cases,0
Output of this program EDIT I note that this post has been here for nearly six months and no explanations have been forthcoming,0
Actually if you use HashSet as Tom Hawtin proposed you do n`t need to worry about sorting and your speed is the same as with Binary Search on a presorted array probably even faster,1
It all depends on how your code is set up obviously but from where I stand the order would be On an UNsorted array On a sorted array So either way HashSet ftw,0
Instead of using the quick array initialsation syntax to you could just initialise it as a List straight away in a similar manner using the ArraysasList method eg Then you can do like above <code>STRINGScontains(the string you want to find);</code>,1
You can use <code>ArrayUtilscontains</code> from Apache Commons Lang <code>public static boolean contains(Object[] array Object objectToFind)</code> Note that this method returns <code>false</code> if the passed array is <code>null</code>,1
There are also methods available for primitive arrays of all kinds,0
If you have the google collections library Tom s answer can be simplified a lot by using ImmutableSet http//google-collectionsgooglecodecom/svn/trunk/javadoc/com/google/common/collect/ImmutableSethtml This really removes a lot of clutter from the initialization proposed,0
I m surprised no one suggested to just simply implement it by hand Improvement The <code>v ! null</code> condition is constant inside the method it always evaluates to the same boolean value during the method call,0
So if the input <code>array</code> is big it is more efficient to evaluate this condition only once and we can use a simplified/faster condition inside the <code>for</code> loop based on the result,0
The improved <code>contains()</code> method,0
Use <code>ArrayBinarySearch(arrayobj)</code> for finding the given object in array or not,1
Ex if ArrayBinarySearch str i > -1 -- > true -- exists false -- not exists,0
While some of the answers are technically correct they are not advisable,0
A few notes about Joda-Time follow,0
In Joda-Time a DateTime object truly knows its own assigned time zone,1
This contrasts the javautilDate class which seems to have a time zone but does not,1
Note in the example code below how we pass a time zone object to the formatter which parses the string,0
That time zone is used to interpret that <code>000000</code>-time as having occurred in that time zone,0
So you need to think about and determine the time zone represented by that string input,0
Since you have no time portion in your input string Joda-Time assigns the first moment of the day of the specified time zone as the time-of-day,0
Usually this means <code>withTimeAtStartOfDay</code> but not always because of Daylight Saving Time DST or other anomalies,0
By the way you can do the same to any DateTime instance by calling <code>withZone</code>,0
The characters used in a formatter s pattern are similar in Joda-Time to those in javautilDate / Calendar but not exactly the same,1
Carefully read the doc,0
We usually use the immutable classes in Joda-Time,0
Rather than modify an existing Date-Time object we call methods that create a new fresh instance based on the other object with most aspects copied except where alterations were desired,0
An example is the call to <code>date</code> in last line below,0
Immutability helps to make Joda-Time very thread-safe and can also make some work more clear,1
You will need javautilDate objects for use with other classes/framework that do not know about Joda-Time objects,1
Fortunately it is very easy to move back and forth,0
With Java 8 we get a new Date / Time API JSR 310,1
The following way can be used to parse the date in Java 8 without relying on Joda-Time <code>parse()</code> is the standard Java 8 class for representing a date without time,0
If you want to parse values that contain date and time information you should use <code>LocalDate</code>Time,1
For values with timezones use ZonedDateTime,1
My humble test program,0
I use it to play around with the formatter and look-up long dates that I find in log-files but who has put them there,0
My test program Test results,0
Simple two formtter we are used 1 which format date we want ?,0
2 Which format date actully present ?,0
We parse full date to time format,0
Protected Accessible only to the classes in the same package and to the subclasses eg,0
